survey_type,region,site,latitude,longitude,date,transect,heading,depth_start,depth_end,segment,drift_algae,juvenile_laminariales,sub_bedrock,sub_boulder,sub_cobble,sub_sand,relief_0_10cm,relief_10cm_1m,relief_1m_2m,relief_gt_2m,upc_crustose_coralline,upc_encrusting_red,upc_articulated_coralline,upc_desmarestia_spp,upc_branch_flat_branching,upc_dodecaceria_spp,upc_laminariales_holdfast_live,upc_stephanocystis,upc_sponge,upc_corynactis_californica,upc_leaf_blade_unbranched,upc_macrocystis_holdfast_live,upc_solitary_tunicate,upc_bare_rock,upc_dictyoneurum_spp,upc_tubeworm_other_solitary,upc_cup_corals,upc_bryozoan,upc_barnacle,upc_bushy_cylindrical_branches,upc_dead_kelp_holdfast_any,upc_colonial_tunicate,upc_bare_sand,upc_lacy_filamentous_dense,upc_turf_red_2cm,upc_phragmatopoma,upc_sell_debris,upc_embedded_cucumber,upc_other_anemone,upc_thylacodes_squamigerus,upc_dictyotales,upc_scum,upc_egregia_menziesii,upc_diopatra_ornata,upc_hydroids,n_macro_plants,avg_macro_stipe_density,sd_macro_stipe,den_stephanocystis,den_nereocystis,den_laminaria_setchellii,den_pterygophora,den_mac_stump,den_costaria_costata,den_eisenia_arborea,den_lam_stump,den_purple_urchin,den_red_urchin,den_purple_conceiled,den_red_conceiled,sz_mean_purple,sz_mean_red,sz_sd_purple,sz_sd_red,n_dissected,mean_gonad_index,sd_gonad_index,mean_test_diameter_mm,mean_test_height_mm,mean_animal_24hr_mass_g,mean_gonad_mass_g,prop_female,prop_male,macro_present,margin_segment,dist_from_margin,prop_concealed,transect_id
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,5,NA,NA,1,0,0,0,0,0.4,0.6,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,41.89189189189189,4,0,1,3.066666666666667,5,0.7988086367179801,1.2649110640673518,1,2.14893286426268,NA,45.6,25.3,34.11,0.733001,0,0,FALSE,45,-40,0,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,10,NA,NA,1,0,0,0,0,0.6,0.4,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,24,2,9,1,3.6,5,1.1832159566199232,NA,1,5.1695632754342435,NA,54.4,33,60.45,3.125001,0,0,FALSE,45,-35,0.375,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,15,NA,NA,1,0,0,0,0,0.2,0.6,0.2,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,44.87179487179488,0,7.692307692307693,0,2.6,3.6,0.9856107606091624,0.894427190999916,1,1.822636017410229,NA,49.7,24.2,36.76,0.6700010000000001,0,0,FALSE,45,-30,0.1714285714285714,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,20,NA,NA,1,0,0,0,0,0.6,0.4,0,0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,29,2,15,0,3.466666666666667,5,0.915475416434127,NA,1,1.468820130026487,NA,49.3,24.9,41.53,0.610001,0,0,FALSE,45,-25,0.5172413793103449,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,25,NA,NA,1,0,0,0,0,0.8,0.2,0,0.2,0,0.2,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,63.888888888888886,0,27.77777777777778,0,3.2,NA,0.9411239481143204,NA,1,2.5982742980561557,NA,50.1,28.1,46.3,1.203001,0,0,FALSE,45,-20,0.4347826086956522,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,30,NA,NA,1,0,0,0,0,0.6,0.4,0,0.2,0,0.2,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,41.463414634146346,3,28.048780487804883,3,3.1333333333333333,NA,0.833809387832792,NA,1,5.4430677117352495,NA,49.5,32.3,45.93,2.500001,0,0,FALSE,45,-15,0.6764705882352942,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,35,NA,NA,1,0,0,0,0,0.6,0.4,0,0.2,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,40.54054054054054,1,35.13513513513514,0,3.7333333333333334,4,0.7988086367179801,NA,1,3.63661551109893,NA,46.7,25.7,36.49,1.327001,0,0,FALSE,45,-10,0.8666666666666667,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,40,NA,NA,1,0,0,0,0,0.6,0.4,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,13,0,10,0,3.6666666666666665,NA,1,NA,1,3.5018383767710333,NA,53.5,29.1,57.17,2.002001,0,0,FALSE,45,-5,0.7692307692307693,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,45,NA,NA,1,0,0,0,0,0.6,0.4,0,0,0,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,28,3,19,2,4.5,NA,0.5270462766947299,NA,1,2.3291101168282378,NA,48.6,26,40.23,0.937001,0,0,TRUE,45,0,0.6785714285714286,MAR_01_2024-07-08_T_1
Margin,Carmel,MAR_01,36.558873,-121.952609,2024-07-08,1,25,15.4,8.7,50,NA,NA,1,0,0,0,0,1,0,0,0,0.4,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,20,0,3.8,NA,0.9411239481143204,NA,1,7.354348933460682,NA,44.4,23.8,31.41,2.310001,0,0,FALSE,45,5,0.8,MAR_01_2024-07-08_T_1
